Circuit,Hosting Fee (USD),Source
Albert Park (Melbourne-Australia),41000000,"https://f1chronicle.com/how-much-does-monaco-pay-to-host-f1/"
Shanghai International Circuit (China),50000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
Suzuka Circuit (Japan),30000000,"https://f1chronicle.com/how-much-does-monaco-pay-to-host-f1/"
Bahrain International Circuit (Sakhir),55000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
Jeddah Corniche Circuit (Saudi Arabia),55000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
Miami International Autodrome (USA),N/A (collaboration model),"https://www.total-motorsport.com/cost-to-host-f1-race/"
Imola (Autodromo Enzo e Dino Ferrari),22000000,"https://f1chronicle.com/how-much-does-monaco-pay-to-host-f1/"
Circuit de Monaco (Monaco),20000000,"https://f1chronicle.com/how-much-does-monaco-pay-to-host-f1/"
Circuit de Barcelona-Catalunya (Spain),25000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Circuit Gilles Villeneuve (Montreal-Canada),32000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Red Bull Ring (Spielberg-Austria),25000000,"https://www.autoracing1.com/pl/453817/formula-1-news-f1-event-statistics-after-renewal-of-austrian-gp/"
Silverstone Circuit (UK),26000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Spa-Francorchamps (Belgium),22000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Hungaroring (Budapest-Hungary),40000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Circuit Zandvoort (Netherlands),32000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Autodromo Nazionale Monza (Italy),25000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Circuit of The Americas (Austin-USA),30000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Autodromo Hermanos Rodriguez (Mexico City-Mexico),25000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Autodromo Jose Carlos Pace (Interlagos-Sao Paulo),25000000,"https://racingnews365.com/how-much-formula-1-circuits-are-paying-to-host-2023-grands-prix"
Las Vegas Street Circuit (USA),N/A (collaboration model),"https://www.total-motorsport.com/cost-to-host-f1-race/"
Marina Bay Street Circuit (Singapore),35000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
Yas Marina Circuit (Abu Dhabi-UAE),42000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
Lusail International Circuit (Qatar),55000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
Baku City Circuit (Azerbaijan),57000000,"https://www.total-motorsport.com/cost-to-host-f1-race/"
